Architecture    Offer         Publisher    Sku                    Urn                                                           Version
x64             UbuntuServer  Canonical    16.04-DAILY-LTS        Canonical:UbuntuServer:16.04-DAILY-LTS:16.04.201908050        16.04.201908050
x64             UbuntuServer  Canonical    16.04-DAILY-LTS        Canonical:UbuntuServer:16.04-DAILY-LTS:16.04.201908070        16.04.201908070
x64             UbuntuServer  Canonical    16.04-DAILY-LTS        Canonical:UbuntuServer:16.04-DAILY-LTS:16.04.201908160        16.04.201908160
x64             UbuntuServer  Canonical    16.04-DAILY-LTS        Canonical:UbuntuServer:16.04-DAILY-LTS:16.04.201909050        16.04.201909050
x64             UbuntuServer  Canonical    16.04-DAILY-LTS        Canonical:UbuntuServer:16.04-DAILY-LTS:16.04.201909091        16.04.201909091
x64             UbuntuServer  Canonical    16.04-DAILY-LTS        Canonical:UbuntuServer:16.04-DAILY-LTS:16.04.202106230        16.04.202106230
x64             UbuntuServer  Canonical    16.04-DAILY-LTS        Canonical:UbuntuServer:16.04-DAILY-LTS:16.04.202108040        16.04.202108040
x64             UbuntuServer  Canonical    16.04-DAILY-LTS        Canonical:UbuntuServer:16.04-DAILY-LTS:16.04.202109280        16.04.202109280
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201611220              16.04.201611220
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201611300              16.04.201611300
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201612050              16.04.201612050
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201612140              16.04.201612140
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201612210              16.04.201612210
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201701130              16.04.201701130
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201702020              16.04.201702020
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201702200              16.04.201702200
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201702210              16.04.201702210
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201702240              16.04.201702240
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201703020              16.04.201703020
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201703030              16.04.201703030
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201703070              16.04.201703070
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201703270              16.04.201703270
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201703280              16.04.201703280
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201703300              16.04.201703300
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201705080              16.04.201705080
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201705160              16.04.201705160
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201706100              16.04.201706100
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201706191              16.04.201706191
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201707210              16.04.201707210
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201707270              16.04.201707270
